"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"storage.sqlite","2018-05-02 10:32:33 SGT","2018-05-02 10:32:33 SGT","2018-05-02 10:32:33 SGT","2018-05-02 10:32:33 SGT","512","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Mozilla/Firefox/Profiles/134xeumt.default/storage.sqlite","68baa23a17ee76fff64e32fbc8bc394a","a40ca1bbfede618deea6774796cd277b078b63cd3a84049c61fe3167722cb3c2","application/x-sqlite3","sqlite"
"blist.sqlite","2018-05-03 07:58:40 SGT","2018-05-03 07:58:40 SGT","2018-05-03 07:58:38 SGT","2018-05-03 07:58:38 SGT","524288","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/blist.sqlite","e30763ded3f222883605dd4a1db690b6","870b6d4722bb5801f3d5ce2c4ace6700b6859f1d51fae0b0fe74371ce54e440f","application/x-sqlite3","sqlite"
"local.sqlite","2018-05-03 07:58:29 SGT","2018-05-03 07:58:29 SGT","2018-05-03 07:58:29 SGT","2018-05-03 07:58:29 SGT","753664","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/calendar-data/local.sqlite","96dd40c80822e1b4b3b7ea1e8d19f5eb","a277ed6775a26bf32f4911694126a86b188b70eab7f142fbf931a3e16110d5b5","application/x-sqlite3","sqlite"
"kinto.sqlite","2018-07-09 11:24:37 SGT","2018-07-09 11:24:37 SGT","2018-05-03 08:02:45 SGT","2018-05-03 08:02:45 SGT","1245184","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/kinto.sqlite","8568cde0f6b2256f283db02dadb60eb9","baed6942f7839edb670390f025024ffcacfc045d3b615d5613cd8bb76e8bdd24","application/x-sqlite3","sqlite"
"permissions.sqlite","2018-05-03 07:58:12 SGT","2018-05-03 07:58:12 SGT","2018-05-03 07:58:12 SGT","2018-05-03 07:58:12 SGT","98304","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/permissions.sqlite","8113e4228bb0b9c094560ecd9c0cb620","1d4dc679578c75b3c26a20c65633870631de30c37178b9c0d5971c3886973655","application/x-sqlite3","sqlite"
"places.sqlite","2018-07-09 11:19:32 SGT","2018-07-09 11:19:32 SGT","2018-05-03 08:05:24 SGT","2018-05-03 08:05:24 SGT","1146880","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/places.sqlite","e92df206fee5f86a10520240fa0dd705","f788e020b50e4f1444be0b0ebfa8cc3dd564b9b424ea3eaecf014b273b8777dc","application/x-sqlite3","sqlite"
"webappsstore.sqlite","2018-05-03 08:15:24 SGT","2018-05-03 08:15:24 SGT","2018-05-03 08:05:25 SGT","2018-05-03 08:05:25 SGT","98304","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/webappsstore.sqlite","4d7d006b11387ce5b46f437287e2723e","6281f308618388f88d88c9cba5b72637a0b67ed5ac411d4a3838da51bc138d30","application/x-sqlite3","sqlite"
"storage.sqlite","2018-05-03 08:12:13 SGT","2018-05-03 08:12:13 SGT","2018-05-03 08:12:12 SGT","2018-05-03 08:12:12 SGT","512","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/storage.sqlite","3f93c7456fc2844eaf39dc970a2be83f","dc25415d357a67365792af6da7ef0a3e786cfcb14195de6b224674a7dd4f10f9","application/x-sqlite3","sqlite"
"content-prefs.sqlite","2018-06-19 07:48:11 SGT","2018-06-19 07:48:11 SGT","2018-06-19 07:48:10 SGT","2018-06-19 07:48:10 SGT","229376","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/content-prefs.sqlite","54a86ad03961eb7936d4b645c005a802","35df04f8cb094e6d43829f95dbd13b479aae7c8e534752f75c24c1020b3b2b41","application/x-sqlite3","sqlite"
"cookies.sqlite","2018-07-11 08:15:16 SGT","2018-07-11 08:15:16 SGT","2018-05-03 07:58:36 SGT","2018-05-03 07:58:36 SGT","524288","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/cookies.sqlite","5cb77dc02dc9a30fd0ddbbcf4803843c","e03c96a92d90a872ce07183556f7f2c7565f49f445477a6fc9d29e62981d872e","application/x-sqlite3","sqlite"
"formhistory.sqlite","2018-05-03 08:12:12 SGT","2018-05-03 08:12:12 SGT","2018-05-03 08:12:11 SGT","2018-05-03 08:12:11 SGT","196608","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/formhistory.sqlite","144627a1039256a4ed7741004a03628b","7610adeccc22268c76b7d981bee0a703d361d9af1a77f76b3b3b55ac00260a1c","application/x-sqlite3","sqlite"
