"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"lpeula.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:51 SGT","2017-03-19 10:27:13 SGT","980","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..-lpksetup.resources_31bf3856ad364e35_10.0.15063.0_en-us_b17d606ac44c2b25/lpeula.rtf","3b18697b64e7f3de04c966b9ecf2f67e","2aa72d5284dbe2a38d92cef68d084d4f689f9928db0cd1fe0a207ada2d10f5fc","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..-oem-core.resources_31bf3856ad364e35_10.0.15063.0_en-us_ab331728e586e50c/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-03-19 04:59:12 SGT","2017-05-10 01:38:54 SGT","2017-03-19 04:59:12 SGT","2017-03-19 04:59:12 SGT","1044","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..-volume-enterpriseg_31bf3856ad364e35_10.0.15063.0_none_a7c12164160f0b65/license.rtf","efbdb9e542e0765ead8e735c2b322fe6","e6af677793be0d1d8541cc73ffb7e8b968253cd47a2e00cc2adbbc02debb926d","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..ault-core.resources_31bf3856ad364e35_10.0.15063.0_en-us_099a0c57b29fedcc/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_3b1f3a5fb336b21f/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","539","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_5767b17cf8b53234/license.rtf","129ea0e2bda698ae867efe78e0958541","78a249b6e0f74979d2d2a230abbe5f3c9b558fcc01e61c7c09950304cf95c7c0","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_6333ed51566fef19/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","42320","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_65014831fb141db0/license.rtf","9366eca0e07b592b6e7582d53cb1af5a","58dff746ab8104c667842b036e0a43859fc772c5f1af43b5b3bd1200e269cd5e","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_7a29e496d22f5556/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
"license.rtf","2017-02-11 02:28:40 SGT","2017-05-10 01:38:54 SGT","2017-03-19 10:28:32 SGT","2017-03-19 10:27:13 SGT","38218","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/x86_microsoft-windows-l..education.resources_31bf3856ad364e35_10.0.15063.0_en-us_f0a96427312abaf3/license.rtf","59c1e86521777a80e714991c609aec5e","02d56d9654c23a86e7614997ffff0d0e42cd5508e9e73788a0555ef9cd26f705","application/rtf","rtf"
